Date,period,GDP Growth,y_lag,covid,COMPOSITE OUTPUT INDEX,Manufacturing Index,Employment,Input Prices,Output Prices
2012-Q3,2012Q3,5.653219301665917,7.185915421571946,1,0.09837070250536599,0.05644332893333342,0.03629388504261272,0.13758195657078887,0.11176413935967958
2012-Q4,2012Q4,4.366412593147094,5.653219301665917,1,0.09061410017500364,0.07496392813333344,0.011215224351994806,0.1210000913123774,0.08384774777272355
2013-Q1,2013Q1,6.306254813471285,4.366412593147094,1,0.08642127196316167,0.06247220753333337,0.021311411804618246,0.10247688508936022,0.07872334475692028
2013-Q2,2013Q2,7.036868243820795,6.306254813471285,1,0.08420234255629908,0.009410752066666674,0.02679568780823317,0.07479446054053966,0.03396114176994232
2013-Q3,2013Q3,6.871465495385493,7.036868243820795,1,0.022649040642282046,-0.01182609366666668,0.011616823748848332,0.1303946820745051,0.028130287465677382
2013-Q4,2013Q4,5.430457466900866,6.871465495385493,1,-0.05239537182236603,0.010984364466666676,0.001959873278801325,0.11572235905265969,0.04488889350294684
2014-Q1,2014Q1,7.848670903085442,5.430457466900866,1,-0.03943698996891342,0.03485936006666677,0.010412476572416977,0.09190518180196876,0.02526339975642401
2014-Q2,2014Q2,8.347201778863411,7.848670903085442,1,-0.007993989136240743,0.027882162599999986,0.009342251582189504,0.08950505937995899,0.03486909898687742
2014-Q3,2014Q3,6.227694812931666,8.347201778863411,1,0.02650738767137341,0.04243064466666666,0.0012492919382046353,0.08407404192357078,0.021814105753626335
2014-Q4,2014Q4,7.228715074820942,6.227694812931666,1,0.042612866402582196,0.06274498800000003,-0.0037950356104309436,0.01512899321522852,0.00846186817469743
2015-Q1,2015Q1,7.426677385705266,7.228715074820942,1,0.049867693602093796,0.041093962133333405,-0.0007423084189800022,0.03468697511206173,0.01155291622518078
2015-Q2,2015Q2,7.704383951489046,7.426677385705266,1,0.06648522239765953,0.0351297194,0.009402400493460875,0.051345928906882964,0.0284797942462869
2015-Q3,2015Q3,7.568024555192621,7.704383951489046,1,0.019506538856144714,0.04186692226666665,0.006266188258993139,0.011054927168419795,0.003738772270630619
