Date,period,gdp_lead,y_lag,covid,Future Output,Output,New Orders,Employment,Input Prices,Output Prices
2012-Q2,2012Q2,7.185915421571946,4.761339831818568,0.0,26.22911592745362,4.918535125268278,6.78214869255951,1.0287888711102582,9.534258215782415,6.710281158187648
2012-Q3,2012Q3,5.653219301665917,7.185915421571946,0.0,20.85254108186072,4.530705008750182,5.606768201153727,1.7554446806901822,6.555882516342876,5.436859837425914
2012-Q4,2012Q4,4.366412593147094,5.653219301665917,0.0,21.455100242111868,4.321063598158084,6.150203224538096,0.9051632654959221,6.094016626252333,4.226244224424967
2013-Q1,2013Q1,6.306254813471285,4.366412593147094,0.0,19.358686217631316,4.210117127814954,5.456021746220038,1.1743303327309391,5.853642858402672,4.278687635556658
2013-Q2,2013Q2,7.036868243820795,6.306254813471285,0.0,18.78481771443512,1.1324520321140525,2.0041022899219456,0.939438664079141,3.2914270183452814,1.478206882811854
2013-Q3,2013Q3,6.871465495385493,7.036868243820795,0.0,14.336764702358778,-2.6197685911182944,-2.825008588123673,0.5230025143264356,6.198560874876385,1.266552520460131
2013-Q4,2013Q4,5.430457466900866,6.871465495385493,0.0,14.130604831014196,-1.9718494984456711,-1.2959012568583645,0.4392435027052457,5.829922801978938,2.2770845286300414
2014-Q1,2014Q1,7.848670903085442,5.430457466900866,0.0,15.256024767951502,-0.3996994568120371,-0.003872934639225889,0.6282229404105166,5.318059620509111,1.5887155775681876
2014-Q2,2014Q2,8.347201778863411,7.848670903085442,0.0,16.978776422299234,1.3253693835686704,1.6164448743943254,0.07357191505553828,4.020821179953451,1.5234116855514586
2014-Q3,2014Q3,6.227694812931666,8.347201778863411,0.0,13.242850283287908,2.13064332012911,2.7916667895335436,0.005218682108797168,3.8956897126481564,0.9516032718898728
2014-Q4,2014Q4,7.228715074820942,6.227694812931666,0.0,13.113658039524829,2.4933846801046897,3.080976051974524,0.14953803790456277,0.7963050712528528,0.4545953682492154
2015-Q1,2015Q1,7.426677385705266,7.228715074820942,0.0,12.872432236643114,3.3242611198829763,3.212075469088937,0.06929581461674417,2.4192729659505474,0.8988379953856267
2015-Q2,2015Q2,7.704383951489046,7.426677385705266,0.0,12.170379066374231,0.9753269428072358,0.42948982438323213,0.07655590867062756,2.1287808026084463,1.205305000506776
2015-Q3,2015Q3,7.568024555192621,7.704383951489046,0.0,3.667394040826572,2.0252224090479345,2.0222797971087303,0.2557766596738702,0.26548052052240223,0.05029723643104944
2015-Q4,2015Q4,9.23762620716978,7.568024555192621,0.0,2.5282831560307955,1.4843215122407116,2.055352835344621,0.2342412323307883,1.9348478256958472,0.27773755869926475
2016-Q1,2016Q1,8.489928655390273,9.23762620716978,0.0,6.9510476047273,2.9393382344869465,3.0105091720575743,0.20514948101035912,2.205426922237187,1.106932058337918
2016-Q2,2016Q2,9.272365552317295,8.489928655390273,0.0,8.00377941939525,1.601612476745153,1.6175170933754544,0.13580057667090983,3.202850331616503,1.284107766026949
2016-Q3,2016Q3,9.017949613058729,9.272365552317295,0.0,11.331148128890966,3.124664655917684,3.1443140666933758,0.10338788293686463,1.1789985982581825,0.20548413585995462
2016-Q4,2016Q4,6.3927276791365,9.017949613058729,0.0,7.190289703888517,0.6728634721675135,0.5501601696695317,0.0757854148574566,1.7676868068097988,0.18053082589270986
2017-Q1,2017Q1,5.97921376459028,6.3927276791365,0.0,7.615556011145706,0.807250160756233,0.8479603582579571,0.4046379088529264,3.092209903804452,0.8437991976688366
2017-Q2,2017Q2,5.099880261137134,5.97921376459028,0.0,8.613836986651016,2.163796425008961,2.017647173188493,0.8911598580778559,2.214405574207994,0.8888748803203725
2017-Q3,2017Q3,7.012044564996621,5.099880261137134,0.0,10.84517588482688,-1.3159270417042208,-1.616302367179479,0.5815406213243577,2.1755984988051296,1.9480432497470304
2017-Q4,2017Q4,9.079300002943532,7.012044564996621,0.0,9.144364389321652,1.5206961531981094,1.0926220528092827,1.8287251246771135,3.592299371876628,1.6592321721612038
2018-Q1,2018Q1,7.335822466281698,9.079300002943532,0.0,9.604166578807032,0.9891319866548329,0.7913505328058434,2.08218223657542,3.9687150247109386,1.8299162938133122
2018-Q2,2018Q2,6.192407878273323,7.335822466281698,0.0,10.610210384426729,1.8436880851073525,1.7130474958691266,2.1378838537437375,3.859307207944248,1.2692081069332986
2018-Q3,2018Q3,6.554436611959767,6.192407878273323,0.0,10.28899951877424,2.4953060444446677,1.9686918202449633,1.6036937241226425,4.8127228601125935,1.0640672034213594
